"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio5"
"211" 2 0 -45.5833333333333 -19.9166666666667 218 137 67 302
"212" 3 0 -45.25 -9.25 253 128 73 342
"213" 3 0 -64.4166666666667 -8.58333333333333 261 103 75 328
"214" 2 0 -59.25 -20.75 252 126 61 350
"215" 3 0 -51.5833333333333 -15.0833333333333 258 123 70 336
"216" 3 0 -52.5833333333333 -25.4166666666667 179 128 60 281
"217" 2 0 -53.4166666666667 -22.5833333333333 230 125 65 320
"218" 2 0 -63.4166666666667 -8.91666666666666 259 103 71 330
"219" 1 0 -72.4166666666667 -4.08333333333333 260 96 84 316
"220" 3 0 -60.0833333333333 -6.25 266 97 73 332
"221" 3 0 -47.9166666666667 -24.75 218 91 51 304
"222" 1 0 -51.0833333333333 -22.5833333333333 218 125 64 304
"223" 2 0 -66.75 -13.4166666666667 262 115 71 339
"224" 1 0 -50.4166666666667 -23.9166666666667 193 126 62 285
"225" 2 0 -66.0833333333333 -7.25 261 102 79 323
"226" 2 0 -68.0833333333333 -7.41666666666666 255 110 81 319
"227" 1 0 -71.9166666666667 -10.0833333333333 254 113 76 323
"228" 3 0 -52.5833333333333 -16.4166666666667 236 132 68 320
"229" 1 0 -43.4166666666667 -20.25 198 115 62 279
"230" 3 0 -38.75 -8.08333333333333 235 106 69 312
"231" 3 0 -47.25 -16.0833333333333 219 123 71 294
"232" 3 0 -44.5833333333333 -7.41666666666666 264 115 73 344
"233" 1 0 -66.25 -11.25 265 114 69 342
"234" 2 0 -40.0833333333333 -13.25 206 83 68 268
"235" 1 0 -40.25 -9.25 245 128 75 327
"236" 2 0 -63.9166666666667 -16.4166666666667 250 110 64 325
"237" 1 0 -66.9166666666667 -4.91666666666666 262 89 80 319
"238" 3 0 -64.5833333333333 -9.25 262 105 75 330
"239" 3 0 -36.25 -9.91666666666666 242 78 67 301
"240" 2 0 -51.0833333333333 -11.75 274 121 74 350
"241" 3 0 -51.25 -22.5833333333333 221 126 64 307
"242" 2 0 -44.0833333333333 -18.9166666666667 220 130 67 303
"243" 1 0 -64.75 -16.5833333333333 252 110 62 327
"244" 2 0 -74.5833333333333 -13.4166666666667 42 154 77 130
"245" 1 0 -48.75 -13.25 258 113 69 337
"246" 1 0 -66.5833333333333 -18.0833333333333 82 174 65 195
"247" 3 0 -64.5833333333333 -7.25 263 101 76 329
"248" 1 0 -53.5833333333333 -15.25 225 144 67 319
"249" 1 0 -43.0833333333333 -10.4166666666667 253 140 79 338
"250" 2 0 -67.0833333333333 -3.41666666666666 257 92 85 312
"251" 2 0 -67.25 -5.91666666666666 259 97 80 319
"252" 1 0 -63.25 -9.75 256 111 71 332
"253" 2 0 -48.0833333333333 -5.08333333333333 264 109 79 333
"254" 1 0 -56.0833333333333 -23.4166666666667 223 116 58 317
"255" 1 0 -49.9166666666667 -15.25 238 101 68 310
"256" 2 0 -43.75 -9.75 254 137 76 343
"257" 2 0 -72.5833333333333 -13.4166666666667 81 162 74 181
"258" 3 0 -52.5833333333333 -24.0833333333333 202 117 61 293
"259" 3 0 -53.25 -25.5833333333333 189 135 58 300
"260" 3 0 -73.75 -7.91666666666666 257 108 77 324
"261" 3 0 -37.5833333333333 -12.0833333333333 248 83 68 311
"262" 1 0 -49.9166666666667 -18.25 243 123 69 321
"263" 1 0 -59.0833333333333 -18.0833333333333 244 126 68 330
"264" 1 0 -47.9166666666667 -7.08333333333333 255 113 74 333
"265" 2 0 -37.9166666666667 -9.58333333333333 254 93 66 324
"266" 3 0 -56.0833333333333 -26.75 217 121 51 336
"267" 1 0 -43.75 -14.0833333333333 248 126 72 329
"268" 2 0 -40.75 -18.5833333333333 238 108 68 316
"269" 1 0 -53.5833333333333 -14.4166666666667 235 143 71 323
"270" 3 0 -61.4166666666667 -10.9166666666667 238 129 68 331
"271" 1 0 -56.9166666666667 -20.9166666666667 236 117 62 321
"272" 3 0 -72.75 -5.58333333333333 260 101 82 319
"273" 3 0 -44.0833333333333 -21.0833333333333 196 119 66 278
"274" 2 0 -53.5833333333333 -24.4166666666667 205 128 59 309
"275" 3 0 -51.4166666666667 -7.58333333333333 249 130 77 333
"276" 2 0 -42.4166666666667 -5.08333333333333 266 116 70 354
"277" 1 0 -56.25 -21.9166666666667 235 117 60 322
"278" 2 0 -56.4166666666667 -5.58333333333333 262 105 73 334
"279" 3 0 -74.75 -14.75 153 166 77 247
"280" 2 0 -57.5833333333333 -9.41666666666666 250 128 67 344
"281" 1 0 -50.5833333333333 -15.25 258 109 69 332
"282" 3 0 -38.5833333333333 -3.91666666666666 255 73 78 299
"283" 3 0 -50.75 -6.91666666666666 240 122 79 318
"284" 2 0 -68.25 -4.91666666666666 257 96 84 314
"285" 2 0 -44.25 -9.58333333333333 250 132 74 342
"286" 3 0 -70.0833333333333 -14.9166666666667 72 165 69 173
"287" 3 0 -65.0833333333333 -12.0833333333333 265 118 71 347
"288" 3 0 -61.4166666666667 -11.75 236 130 69 328
"289" 2 0 -73.9166666666667 -8.25 260 109 77 328
"290" 2 0 -74.25 -12.75 109 157 76 202
"291" 2 0 -51.75 -4.08333333333333 247 97 80 308
"292" 3 0 -59.0833333333333 -12.75 232 134 69 318
"293" 1 0 -47.9166666666667 -8.91666666666666 264 121 73 346
"294" 1 0 -70.5833333333333 -16.25 22 167 73 123
"295" 2 0 -47.4166666666667 -19.4166666666667 200 113 68 269
"296" 1 0 -63.5833333333333 -12.25 254 123 72 340
"297" 2 0 -71.9166666666667 -11.9166666666667 250 117 79 321
"298" 2 0 -75.25 -9.41666666666666 258 116 84 326
"299" 1 0 -36.9166666666667 -5.25 270 93 79 328
"300" 3 0 -65.0833333333333 -13.4166666666667 263 122 70 348
