FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
895;2196;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL I; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9301;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 93 de 21/11/2008;26/08/2011;0000.00.2196;Instituto Chico Mendes de Conservação da Biodiversidade;-39.122849;-16.548823
896;118;FLORESTA NACIONAL DO JAMARI; ;Floresta;US;federal;1984;173;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 90224 de 25/09/1984;26/09/2007;0000.00.0118;Instituto Chico Mendes de Conservação da Biodiversidade;-62.939003;-9.215011
897;2171;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA FAZENDA BONITO DE CIMA VII; ;Reserva Particular do Patrimônio Natural;US;federal;2004;10449;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 12 de 15/10/2004;26/08/2011;0000.00.2171;Instituto Chico Mendes de Conservação da Biodiversidade;-46.954205;-18.498327
898;60;ESTAÇÃO ECOLÓGICA DE NIQUIÁ;10826;Estação Ecológica;PI;federal;1985;85;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 91306 de 03/06/1985;02/02/2016;0000.00.0060;Instituto Chico Mendes de Conservação da Biodiversidade;-61.502076;1.256691
899;3137;PARQUE NACIONAL GUARICANA; ;Parque;PI;federal;2014;11166;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº Sem número de 14/10/2014;22/10/2014;0000.00.3137;Instituto Chico Mendes de Conservação da Biodiversidade;-48.860500;-25.712329
900;2145;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO-DE-FOGO-RENDADO; ;Reserva Particular do Patrimônio Natural;US;federal;2011;9248;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 28 de 17/05/2011;26/08/2011;0000.00.2145;Instituto Chico Mendes de Conservação da Biodiversidade;-38.456120;-12.512272
901;81;FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ;220239;Floresta;US;federal;1999;989;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 21/09/1999;16/10/2007;0000.00.0081;Instituto Chico Mendes de Conservação da Biodiversidade;-41.089084;-13.942383
902;111;FLORESTA NACIONAL DE SOBRAL;351771;Floresta;US;federal;1947;5289;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 127 de 03/11/1947;26/02/2018;0000.00.0111;Instituto Chico Mendes de Conservação da Biodiversidade;-40.529262;-3.778022
903;169;PARQUE NACIONAL DO CABO ORANGE;57;Parque;PI;federal;1980;257;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 84913 de 15/07/1980;05/02/2016;0000.00.0169;Instituto Chico Mendes de Conservação da Biodiversidade;-51.189590;3.650027
904;39;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;10821;Área de Relevante Interesse Ecológico;US;federal;1985;60;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 91.890 de 05/11/1985;04/12/2007;0000.00.0039;Instituto Chico Mendes de Conservação da Biodiversidade;-34.988528;-6.794620
