FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
3404;Maracás;2920502;-40.553066;-13.497374;BAHIA;BA
3405;Iramaia;2914307;-40.910776;-13.496343;BAHIA;BA
3406;Itiruçu;2916906;-40.150384;-13.485117;BAHIA;BA
3407;Serra do Ramalho;2930154;-43.676792;-13.477650;BAHIA;BA
3408;Correntina;2909307;-45.407042;-13.477608;BAHIA;BA
3409;Cabixi;1100031;-60.640628;-13.475130;RONDONIA;RO
3410;Lajedo do Tabocal;2919058;-40.277575;-13.464028;BAHIA;BA
3411;Itaquara;2916708;-39.894383;-13.453712;BAHIA;BA
3412;Presidente Tancredo Neves;2925758;-39.424194;-13.444577;BAHIA;BA
3413;Cravolândia;2909505;-39.801488;-13.426440;BAHIA;BA
3414;Trombas;5221452;-48.754020;-13.420855;GOIAS;GO
3415;Érico Cardoso;2900504;-42.061321;-13.402240;BAHIA;BA
3416;Ibicoara;2912202;-41.343595;-13.389108;BAHIA;BA
3417;Valença;2932903;-39.198775;-13.359908;BAHIA;BA
3418;Canarana;5102702;-52.398436;-13.330238;MATO GROSSO;MT
3419;Jiquiriçá;2918209;-39.586479;-13.330166;BAHIA;BA
3420;Botuporã;2904209;-42.540568;-13.326749;BAHIA;BA
3421;Mutuípe;2922409;-39.506758;-13.310481;BAHIA;BA
3422;Abaíra;2900108;-41.733851;-13.297212;BAHIA;BA
3423;Monte Alegre de Goiás;5213509;-46.923802;-13.294358;GOIAS;GO
3424;Porangatu;5218003;-49.230644;-13.292305;GOIAS;GO
3425;Santa Inês;2927903;-39.856519;-13.288804;BAHIA;BA
3426;Bom Jesus da Lapa;2903904;-43.291018;-13.288360;BAHIA;BA
3427;Ubaíra;2932101;-39.685331;-13.276466;BAHIA;BA
3428;Divinópolis de Goiás;5208301;-46.519078;-13.264335;GOIAS;GO
3429;Novo Planalto;5215256;-49.728982;-13.248764;GOIAS;GO
3430;Caturama;2907558;-42.318196;-13.231552;BAHIA;BA
3431;Santa Maria da Vitória;2928109;-44.384326;-13.224389;BAHIA;BA
3432;Irajuba;2914208;-40.042473;-13.217107;BAHIA;BA
3433;Cerejeiras;1100056;-61.261137;-13.203593;RONDONIA;RO
3434;Planaltino;2924900;-40.284233;-13.196629;BAHIA;BA
3435;Comodoro;5103304;-59.753840;-13.191261;MATO GROSSO;MT
3436;Pimenteiras do Oeste;1101468;-61.544776;-13.175001;RONDONIA;RO
3437;Laje;2918803;-39.344708;-13.164705;BAHIA;BA
3438;Colorado do Oeste;1100064;-60.550392;-13.159110;RONDONIA;RO
3439;Sapezal;5107875;-58.653895;-13.154218;MATO GROSSO;MT
3440;Montividiu do Norte;5213772;-48.731631;-13.145417;GOIAS;GO
3441;São Miguel do Araguaia;5220207;-50.249283;-13.144923;GOIAS;GO
3442;Marcionílio Souza;2920809;-40.665131;-13.141456;BAHIA;BA
3443;Rio do Pires;2926905;-42.147263;-13.136186;BAHIA;BA
3444;Jaguaripe;2917805;-38.980533;-13.115302;BAHIA;BA
3445;Macaúbas;2919801;-42.691098;-13.109689;BAHIA;BA
3446;Canápolis;2906105;-44.210915;-13.090513;BAHIA;BA
3447;Aratuípe;2902302;-39.071824;-13.084870;BAHIA;BA
3448;Itaeté;2915007;-41.023776;-13.084338;BAHIA;BA
3449;Brejões;2904308;-39.857451;-13.075851;BAHIA;BA
3450;Santana;2928208;-43.947629;-13.065736;BAHIA;BA
3451;Mucugê;2921906;-41.469352;-13.061639;BAHIA;BA
3452;Nova Itarana;2922805;-40.030005;-13.051072;BAHIA;BA
3453;Piatã;2924306;-41.879255;-13.049740;BAHIA;BA
3454;São Miguel das Matas;2929404;-39.430122;-13.048840;BAHIA;BA
3455;Lucas do Rio Verde;5105259;-56.166509;-13.038085;MATO GROSSO;MT
3456;Amargosa;2901007;-39.634397;-13.037279;BAHIA;BA
3457;Palmeirópolis;1715754;-48.348528;-13.019460;TOCANTINS;TO
3458;Santo Antônio de Jesus;2928703;-39.230344;-13.008091;BAHIA;BA
3459;Vera Cruz;2933208;-38.696518;-13.007931;BAHIA;BA
3460;Campos Belos;5204904;-46.515124;-13.000225;GOIAS;GO
3461;Muniz Ferreira;2922201;-39.089473;-12.997138;BAHIA;BA
3462;Gaúcha do Norte;5103858;-53.456763;-12.995830;MATO GROSSO;MT
3463;Nova Ubiratã;5106240;-54.766309;-12.990348;MATO GROSSO;MT
3464;Varzedo;2933174;-39.380386;-12.976374;BAHIA;BA
3465;Nazaré;2922508;-38.991994;-12.948058;BAHIA;BA
3466;Elísio Medrado;2910305;-39.534903;-12.931389;BAHIA;BA
3467;Corumbiara;1100072;-61.091611;-12.926512;RONDONIA;RO
3468;Milagres;2921302;-39.773701;-12.925289;BAHIA;BA
3469;Novo Alegre;1715150;-46.559818;-12.914318;TOCANTINS;TO
3470;Dom Macedo Costa;2910206;-39.171283;-12.914032;BAHIA;BA
3471;Salinas da Margarida;2927309;-38.760900;-12.893643;BAHIA;BA
3472;Itaparica;2916104;-38.662418;-12.886078;BAHIA;BA
3473;Ribeirão Cascalheira;5107180;-51.568155;-12.874300;MATO GROSSO;MT
3474;Salvador;2927408;-38.510330;-12.871185;BAHIA;BA
3475;Lauro de Freitas;2919207;-38.335338;-12.858924;BAHIA;BA
3476;Ibipitanga;2912509;-42.361651;-12.858895;BAHIA;BA
3477;Conceição do Almeida;2908309;-39.240903;-12.856587;BAHIA;BA
3478;Novo Horizonte;2923035;-42.132758;-12.846625;BAHIA;BA
3479;Combinado;1705557;-46.503485;-12.846320;TOCANTINS;TO
3480;Sítio do Mato;2930758;-43.467577;-12.845922;BAHIA;BA
3481;Araguaçu;1702000;-49.695470;-12.840040;TOCANTINS;TO
3482;Nova Redenção;2922854;-41.108623;-12.838118;BAHIA;BA
3483;São Felipe;2929107;-39.095094;-12.837170;BAHIA;BA
3484;Maragogipe;2920601;-38.939013;-12.822130;BAHIA;BA
3485;Lavandeira;1712157;-46.394394;-12.820558;TOCANTINS;TO
3486;Arraias;1702406;-47.047838;-12.817077;TOCANTINS;TO
3487;Iaçu;2911907;-40.107378;-12.816516;BAHIA;BA
3488;Serra Dourada;2930303;-43.797877;-12.806410;BAHIA;BA
3489;São Desidério;2928901;-45.482902;-12.798637;BAHIA;BA
3490;Boninal;2904001;-41.801312;-12.784444;BAHIA;BA
3491;Boa Vista do Tupim;2903805;-40.650779;-12.783263;BAHIA;BA
3492;Nova Maringá;5108907;-57.220067;-12.783150;MATO GROSSO;MT
3493;Saubara;2929750;-38.754892;-12.781103;BAHIA;BA
3494;Simões Filho;2930709;-38.399295;-12.764869;BAHIA;BA
3495;Andaraí;2901304;-41.195404;-12.758895;BAHIA;BA
3496;Jaú do Tocantins;1711506;-48.645537;-12.748164;TOCANTINS;TO
3497;Castro Alves;2907301;-39.367368;-12.744922;BAHIA;BA
3498;Boquira;2904100;-42.720240;-12.744469;BAHIA;BA
3499;Sorriso;5107925;-55.678270;-12.741459;MATO GROSSO;MT
3500;Madre de Deus;2919926;-38.631141;-12.738559;BAHIA;BA
3501;Santa Teresinha;2928505;-39.570568;-12.729871;BAHIA;BA
3502;Sapeaçu;2929602;-39.216418;-12.727470;BAHIA;BA
3503;Itatim;2916856;-39.741152;-12.724353;BAHIA;BA
3504;Paranã;1716208;-47.813720;-12.696852;TOCANTINS;TO
3505;Cruz das Almas;2909802;-39.119381;-12.686275;BAHIA;BA
3506;Paratinga;2923704;-43.067575;-12.684249;BAHIA;BA
3507;Talismã;1720978;-49.048246;-12.682198;TOCANTINS;TO
3508;São Félix;2929008;-38.997726;-12.673678;BAHIA;BA
3509;Candeias;2906501;-38.483663;-12.672891;BAHIA;BA
3510;Camaçari;2905701;-38.207021;-12.668770;BAHIA;BA
3511;Baianópolis;2902500;-44.444636;-12.666741;BAHIA;BA
3512;São Francisco do Conde;2929206;-38.636048;-12.645982;BAHIA;BA
3513;Aurora do Tocantins;1702703;-46.419564;-12.643188;TOCANTINS;TO
3514;Cachoeira;2904902;-38.885007;-12.640530;BAHIA;BA
3515;Muritiba;2922300;-39.092263;-12.619540;BAHIA;BA
3516;Ibiquera;2912608;-40.839324;-12.609536;BAHIA;BA
3517;Dias D'ávila;2910057;-38.281151;-12.603732;BAHIA;BA
3518;Alto Alegre dos Parecis;1100379;-61.879921;-12.593690;RONDONIA;RO
3519;Governador Mangabeira;2911600;-39.069044;-12.582502;BAHIA;BA
3520;São Salvador do Tocantins;1720259;-48.364379;-12.576910;TOCANTINS;TO
3521;Ibitiara;2913002;-42.283470;-12.576072;BAHIA;BA
3522;Tapurah;5108006;-56.531594;-12.571037;MATO GROSSO;MT
3523;Cabaceiras do Paraguaçu;2904852;-39.192802;-12.564522;BAHIA;BA
3524;Santo Amaro;2928604;-38.761303;-12.562595;BAHIA;BA
3525;Palmeiras;2923506;-41.558150;-12.545926;BAHIA;BA
