"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"256" 2 0 -48.9166666666667 -21.5833333333333 220 124 66
"257" 1 0 -41.4166666666667 -22.25 231 85 56
"258" 1 0 -45.9166666666667 -22.5833333333333 174 118 64
"259" 3 0 -44.9166666666667 -22.5833333333333 198 122 62
"260" 1 0 -45.9166666666667 -22.25 197 127 66
"261" 1 0 -48.4166666666667 -19.9166666666667 235 129 70
"262" 2 0 -45.4166666666667 -21.25 202 131 66
"263" 2 0 -49.4166666666667 -21.4166666666667 222 127 66
"264" 1 0 -44.5833333333333 -22.9166666666667 182 114 61
"265" 2 0 -42.0833333333333 -22.25 203 96 59
"266" 1 0 -45.25 -22.4166666666667 159 125 64
"267" 1 0 -49.25 -22.0833333333333 213 127 64
"268" 2 0 -48.25 -20.4166666666667 229 123 69
"269" 2 0 -48.5833333333333 -21.4166666666667 219 122 67
"270" 3 0 -46.0833333333333 -22.0833333333333 181 124 66
"271" 3 0 -47.9166666666667 -20.75 218 115 68
"272" 3 0 -48.4166666666667 -21.9166666666667 213 120 65
"273" 3 0 -44.0833333333333 -21.0833333333333 196 119 66
"274" 1 0 -44.4166666666667 -23.0833333333333 231 89 57
"275" 1 0 -50.0833333333333 -21.25 225 127 65
"276" 1 0 -44.4166666666667 -21.0833333333333 198 123 66
"277" 2 0 -45.4166666666667 -21.75 199 135 66
"278" 3 0 -43.0833333333333 -22.75 231 87 55
"279" 1 0 -44.5833333333333 -22.75 154 120 62
"280" 2 0 -50.4166666666667 -19.9166666666667 232 128 69
"281" 1 0 -42.0833333333333 -22.75 230 71 57
"282" 3 0 -43.5833333333333 -22.5833333333333 216 103 60
"283" 1 0 -45.75 -21.9166666666667 200 132 66
"284" 3 0 -48.75 -20.4166666666667 232 127 68
"285" 3 0 -41.9166666666667 -22.4166666666667 229 85 59
"286" 2 0 -49.4166666666667 -21.9166666666667 212 127 64
"287" 3 0 -45.4166666666667 -22.25 181 131 65
"288" 2 0 -42.9166666666667 -21.25 225 123 63
"289" 1 0 -43.0833333333333 -22.25 194 104 59
"290" 2 0 -49.5833333333333 -20.75 225 127 68
"291" 3 0 -49.25 -19.5833333333333 236 131 69
"292" 2 0 -43.5833333333333 -21.9166666666667 198 105 61
"293" 1 0 -46.0833333333333 -22.25 192 125 66
"294" 3 0 -49.0833333333333 -21.25 224 125 68
"295" 3 0 -42.4166666666667 -21.0833333333333 221 128 62
"296" 2 0 -42.5833333333333 -22.4166666666667 182 99 60
"297" 2 0 -45.0833333333333 -22.0833333333333 191 139 66
"298" 3 0 -43.25 -21.25 215 119 63
"299" 3 0 -43.25 -20.75 204 116 62
"300" 3 0 -42.25 -21.4166666666667 225 123 62
"301" 2 0 -50.0833333333333 -21.0833333333333 226 127 65
"302" 2 0 -42.4166666666667 -22.5833333333333 230 86 58
"303" 2 0 -43.75 -22.0833333333333 204 110 60
"304" 3 0 -50.75 -21.4166666666667 220 126 64
"305" 1 0 -43.25 -22.9166666666667 224 82 56
"306" 1 0 -48.75 -21.0833333333333 224 123 69
"307" 2 0 -42.75 -22.25 173 102 60
"308" 1 0 -43.0833333333333 -21.4166666666667 220 121 63
"309" 2 0 -41.75 -22.4166666666667 229 85 58
"310" 2 0 -50.75 -20.4166666666667 227 127 65
"311" 1 0 -42.0833333333333 -21.0833333333333 219 124 62
"312" 3 0 -43.4166666666667 -21.25 209 114 62
