"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"179" 3 0 -44.0833333333333 -14.5833333333333 243 129 70
"180" 3 0 -52.25 -11.25 259 136 71
"181" 1 0 -54.4166666666667 -29.75 193 111 51
"182" 1 0 -55.4166666666667 -11.25 252 143 70
"183" 1 0 -73.25 -11.25 256 119 80
"184" 3 0 -56.0833333333333 -12.0833333333333 252 139 68
"185" 2 0 -66.0833333333333 -15.4166666666667 251 109 62
"186" 2 0 -63.25 -10.9166666666667 248 121 72
"187" 2 0 -56.75 -10.9166666666667 250 137 71
"188" 3 0 -66.5833333333333 -9.25 261 108 77
"189" 3 0 -49.75 -11.9166666666667 272 118 71
"190" 1 0 -57.9166666666667 -30.4166666666667 194 117 47
"191" 2 0 -62.9166666666667 -9.25 256 108 70
"192" 2 0 -45.75 -21.75 202 132 66
"193" 2 0 -45.0833333333333 -1.91666666666666 270 76 79
"194" 3 0 -64.0833333333333 -8.08333333333333 262 102 74
"195" 2 0 -44.75 -10.25 254 145 70
"196" 3 0 -70.5833333333333 -2.08333333333333 258 90 87
"197" 1 0 -47.0833333333333 -6.25 253 124 70
"198" 1 0 -48.0833333333333 -14.9166666666667 224 101 69
"199" 1 0 -38.9166666666667 -16.0833333333333 241 73 65
"200" 2 0 -68.9166666666667 -2.91666666666666 256 91 87
"201" 2 0 -56.75 -18.4166666666667 260 111 65
"202" 3 0 -67.5833333333333 -15.4166666666667 244 104 67
"203" 3 0 -57.75 -7.91666666666666 263 116 64
"204" 2 0 -52.5833333333333 -29.75 197 98 50
"205" 3 0 -70.5833333333333 -12.0833333333333 247 109 75
"206" 2 0 -39.9166666666667 -9.25 242 124 74
"207" 1 0 -58.25 -15.9166666666667 256 128 68
"208" 1 0 -46.75 -21.0833333333333 188 114 67
"209" 3 0 -70.9166666666667 -7.25 257 104 81
"210" 2 0 -55.5833333333333 -26.25 210 125 55
"211" 2 0 -42.25 -3.91666666666666 271 110 75
"212" 3 0 -40.0833333333333 -5.41666666666666 242 93 78
"213" 3 0 -53.75 -16.9166666666667 225 132 68
"214" 2 0 -46.4166666666667 -10.9166666666667 243 132 72
"215" 3 0 -39.75 -4.91666666666666 253 94 79
"216" 3 0 -58.5833333333333 -8.08333333333333 261 115 66
"217" 2 0 -46.25 -13.5833333333333 239 113 72
"218" 2 0 -47.0833333333333 -11.0833333333333 253 127 71
"219" 1 0 -53.4166666666667 -25.9166666666667 184 136 58
"220" 3 0 -51.0833333333333 -4.08333333333333 253 100 82
"221" 3 0 -59.0833333333333 -9.58333333333333 250 124 67
"222" 1 0 -72.4166666666667 -14.75 14 174 71
"223" 2 0 -63.5833333333333 -14.25 255 122 70
"224" 1 0 -47.9166666666667 -5.41666666666666 266 112 77
"225" 2 0 -54.25 -6.91666666666666 253 123 73
"226" 2 0 -46.25 -10.9166666666667 236 133 72
"227" 1 0 -55.9166666666667 -12.4166666666667 251 139 68
"228" 3 0 -54.25 -7.75 250 130 71
"229" 1 0 -61.75 -9.25 253 114 69
"230" 3 0 -55.5833333333333 -31.0833333333333 182 121 49
"231" 3 0 -70.0833333333333 -3.08333333333333 258 91 86
"232" 3 0 -52.75 -7.25 248 128 77
"233" 1 0 -58.5833333333333 -26.0833333333333 219 131 53
"234" 2 0 -67.9166666666667 -1.75 256 89 85
"235" 1 0 -66.0833333333333 -12.75 264 117 71
"236" 2 0 -72.75 -7.91666666666666 255 100 74
"237" 1 0 -70.5833333333333 -5.75 257 102 83
"238" 3 0 -52.9166666666667 -10.75 255 141 69
"239" 3 0 -54.0833333333333 -14.9166666666667 220 139 69
"240" 2 0 -59.4166666666667 -21.5833333333333 251 126 59
"241" 3 0 -55.4166666666667 -16.25 236 123 66
"242" 2 0 -45.25 -23.9166666666667 209 80 52
"243" 1 0 -61.9166666666667 -8.41666666666666 259 107 69
"244" 2 0 -47.0833333333333 -15.0833333333333 246 111 69
"245" 1 0 -49.4166666666667 -15.9166666666667 238 98 67
"246" 1 0 -75.75 -9.08333333333333 226 134 85
"247" 3 0 -45.5833333333333 -1.58333333333333 268 77 76
"248" 1 0 -45.75 -5.08333333333333 264 112 75
"249" 1 0 -51.9166666666667 -26.0833333333333 168 125 58
"250" 2 0 -56.25 -9.91666666666666 255 137 68
"251" 2 0 -37.0833333333333 -5.91666666666666 264 96 77
"252" 1 0 -49.0833333333333 -16.4166666666667 227 107 67
"253" 2 0 -55.9166666666667 -14.5833333333333 248 122 75
"254" 1 0 -67.25 -8.58333333333333 258 111 79
"255" 1 0 -52.25 -10.75 260 136 71
"256" 2 0 -45.0833333333333 -3.91666666666666 274 100 80
"257" 2 0 -40.4166666666667 -15.5833333333333 235 99 65
"258" 3 0 -41.25 -12.4166666666667 226 113 74
"259" 3 0 -47.5833333333333 -9.75 262 123 72
"260" 3 0 -59.4166666666667 -18.75 251 131 66
"261" 3 0 -70.4166666666667 -5.41666666666666 258 102 85
"262" 1 0 -36.25 -9.91666666666666 242 78 67
"263" 1 0 -59.25 -19.5833333333333 245 132 65
"264" 1 0 -38.25 -11.9166666666667 233 84 67
"265" 2 0 -55.0833333333333 -21.9166666666667 233 117 61
"266" 3 0 -44.5833333333333 -13.9166666666667 230 127 70
"267" 1 0 -52.0833333333333 -24.25 205 119 61
"268" 2 0 -49.25 -4.41666666666666 270 102 85
"269" 1 0 -74.75 -5.08333333333333 268 102 84
"270" 3 0 -47.25 -19.75 197 110 68
"271" 1 0 -57.4166666666667 -16.4166666666667 260 122 65
"272" 3 0 -40.0833333333333 -7.58333333333333 235 108 73
"273" 3 0 -57.0833333333333 -28.25 215 119 50
"274" 2 0 -40.5833333333333 -6.58333333333333 239 102 76
"275" 3 0 -54.4166666666667 -7.41666666666666 252 127 72
"276" 2 0 -42.75 -4.91666666666666 273 115 70
"277" 1 0 -53.75 -16.0833333333333 225 138 66
"278" 2 0 -42.5833333333333 -8.08333333333333 271 136 79
"279" 3 0 -62.5833333333333 -11.75 244 128 71
"280" 2 0 -56.9166666666667 -20.4166666666667 239 116 63
"281" 1 0 -44.75 -17.75 230 133 68
"282" 3 0 -48.25 -13.4166666666667 254 112 68
"283" 3 0 -67.5833333333333 -16.75 131 153 71
"284" 2 0 -71.9166666666667 -7.08333333333333 256 101 78
"285" 2 0 -74.4166666666667 -14.0833333333333 58 161 77
"286" 3 0 -53.9166666666667 -11.5833333333333 250 148 67
"287" 3 0 -60.4166666666667 -8.25 258 111 68
"288" 3 0 -76.0833333333333 -9.91666666666666 134 150 79
"289" 2 0 -58.75 -16.5833333333333 258 124 68
"290" 2 0 -49.75 -18.0833333333333 238 124 69
"291" 2 0 -65.4166666666667 -4.75 264 90 82
"292" 3 0 -53.5833333333333 -27.4166666666667 198 121 56
"293" 1 0 -67.9166666666667 -7.08333333333333 255 107 81
"294" 1 0 -52.75 -16.75 238 131 68
"295" 2 0 -44.75 -13.75 234 127 71
"296" 1 0 -61.25 -4.25 268 87 82
"297" 2 0 -54.75 -14.4166666666667 238 134 72
"298" 2 0 -67.9166666666667 -16.9166666666667 99 167 68
"299" 1 0 -40.9166666666667 -5.41666666666666 234 105 76
"300" 3 0 -56.5833333333333 -20.25 250 115 63
