"group.all" "pa" "lon" "lat" "bio1" "bio2"
"165" 1 0 -49.0833333333333 -9.25 265 125
"166" 1 0 -53.0833333333333 -19.9166666666667 241 119
"167" 2 0 -64.9166666666667 -13.4166666666667 263 122
"168" 3 0 -46.75 -23.75 178 95
"169" 2 0 -60.4166666666667 -7.41666666666666 260 105
"170" 2 0 -40.75 -18.9166666666667 234 108
"171" 1 0 -51.0833333333333 -14.9166666666667 260 117
"172" 2 0 -54.4166666666667 -20.5833333333333 232 113
"173" 3 0 -54.25 -22.75 227 119
"174" 1 0 -50.75 -30.5833333333333 188 85
"175" 3 0 -41.9166666666667 -10.0833333333333 249 124
"176" 1 0 -66.75 -7.75 260 106
"177" 1 0 -39.5833333333333 -3.41666666666666 266 97
"178" 2 0 -40.0833333333333 -15.75 239 95
"179" 3 0 -60.25 -9.58333333333333 251 120
"180" 3 0 -35.0833333333333 -6.58333333333333 255 90
"181" 1 0 -51.5833333333333 -20.75 240 121
"182" 1 0 -44.9166666666667 -17.0833333333333 230 140
"183" 1 0 -74.4166666666667 -5.25 270 103
"184" 3 0 -55.0833333333333 -32.0833333333333 177 122
"185" 2 0 -62.5833333333333 -6.91666666666666 265 100
"186" 2 0 -53.4166666666667 -23.75 210 130
"187" 2 0 -63.9166666666667 -5.41666666666666 264 93
"188" 3 0 -58.5833333333333 -12.9166666666667 235 137
"189" 3 0 -46.9166666666667 -19.75 193 112
"190" 1 0 -44.75 -23.25 209 103
"191" 2 0 -54.9166666666667 -28.9166666666667 198 118
"192" 2 0 -46.25 -7.41666666666666 259 118
"193" 2 0 -57.9166666666667 -23.0833333333333 242 121
"194" 3 0 -56.4166666666667 -13.75 253 135
"195" 2 0 -72.9166666666667 -5.58333333333333 262 101
"196" 3 0 -72.75 -12.5833333333333 224 147
"197" 1 0 -63.75 -12.25 254 123
"198" 1 0 -44.25 -5.41666666666666 268 109
"199" 1 0 -63.75 -14.5833333333333 256 120
"200" 2 0 -50.5833333333333 -20.9166666666667 227 127
"201" 2 0 -67.4166666666667 -10.25 261 107
"202" 3 0 -48.5833333333333 -9.25 262 123
"203" 3 0 -45.4166666666667 -2.08333333333333 270 80
"204" 2 0 -41.9166666666667 -8.08333333333333 267 134
"205" 3 0 -62.75 -12.25 247 127
"206" 2 0 -58.75 -15.4166666666667 248 131
"207" 1 0 -69.9166666666667 -17.4166666666667 18 176
"208" 1 0 -72.4166666666667 -14.5833333333333 23 173
"209" 3 0 -45.5833333333333 -6.08333333333333 259 118
"210" 2 0 -37.0833333333333 -5.91666666666666 264 96
"211" 2 0 -56.25 -23.5833333333333 223 114
"212" 3 0 -67.4166666666667 -17.0833333333333 60 170
"213" 3 0 -52.75 -22.0833333333333 228 124
"214" 2 0 -52.75 -10.9166666666667 256 140
"215" 3 0 -57.75 -17.4166666666667 261 120
"216" 3 0 -42.9166666666667 -8.41666666666666 266 137
